"status","coordinate_basis","floor","equipment_category","label","drawing_x","drawing_y","confidence","location_count","source_count","nearby_name","display_label","nearby_name_distance","nearby_name_layer","nearby_name_handle"
"confirmed","XR-PLAN","4F","UPS","UPS","288499.9760780782","412266.950284184","0.82","1","1","3F-1C-4","UPS / 3F-1C-4","1013.7","------00 Switch Gear_Number","8C6072"
"confirmed","XR-PLAN","4F","UPS","UPS","331271.222924614","412561.4468910899","0.82","1","1","5F-1C-4","UPS / 5F-1C-4","346.1","------00 Switch Gear_Number","8C63C4"
"confirmed","XR-PLAN","4F","UPS","UPS","289671.2998169767","412561.4481760378","0.82","1","1","3F-1C-4","UPS / 3F-1C-4","346.1","------00 Switch Gear_Number","8C6072"
"confirmed","XR-PLAN","4F","UPS","UPS","287881.2998169785","412561.448176042","0.82","1","1","3F-1C-4","UPS / 3F-1C-4","346.1","------00 Switch Gear_Number","8C94D3"
"confirmed","XR-PLAN","4F","UPS","UPS","329481.2229246158","412561.4571708932","0.82","1","1","5F-1C-4","UPS / 5F-1C-4","346.1","------00 Switch Gear_Number","8C96F1"
"confirmed","XR-PLAN","4F","UPS","UPS","330099.8991857157","413466.9477142612","0.82","1","1","5F-1C-3","UPS / 5F-1C-3","1013.7","------00 Switch Gear_Number","8C63C0"
"confirmed","XR-PLAN","4F","UPS","UPS","288499.9760780782","413466.9502841839","0.82","1","1","3F-1C-3","UPS / 3F-1C-3","1013.7","------00 Switch Gear_Number","8C606F"
"confirmed","XR-PLAN","4F","UPS","UPS","331271.222924614","413761.4468910899","0.82","1","1","5F-1C-3","UPS / 5F-1C-3","346.1","------00 Switch Gear_Number","8C63C0"
"confirmed","XR-PLAN","4F","UPS","UPS","289671.2998169767","413761.4481760379","0.82","1","1","3F-1C-3","UPS / 3F-1C-3","346.1","------00 Switch Gear_Number","8C606F"
"confirmed","XR-PLAN","4F","UPS","UPS","287881.2998169785","413761.448176042","0.82","1","1","3F-1C-3","UPS / 3F-1C-3","346.1","------00 Switch Gear_Number","8C94D0"
"confirmed","XR-PLAN","4F","UPS","UPS","329481.2229246158","413761.4571708932","0.82","1","1","5F-1C-3","UPS / 5F-1C-3","346.1","------00 Switch Gear_Number","8C96EE"
"confirmed","XR-PLAN","4F","UPS","UPS","330099.8991857155","414666.9477142611","0.82","1","1","5F-1C-2","UPS / 5F-1C-2","1013.7","------00 Switch Gear_Number","8C63BC"
"confirmed","XR-PLAN","4F","UPS","UPS","288499.9760780782","414666.950284184","0.82","1","1","3F-1C-2","UPS / 3F-1C-2","1013.7","------00 Switch Gear_Number","8C606C"
"confirmed","XR-PLAN","4F","UPS","UPS","331271.222924614","414961.44689109","0.82","1","1","5F-1C-2","UPS / 5F-1C-2","346.1","------00 Switch Gear_Number","8C63BC"
"confirmed","XR-PLAN","4F","UPS","UPS","289671.2998169767","414961.4481760378","0.82","1","1","3F-1C-2","UPS / 3F-1C-2","346.1","------00 Switch Gear_Number","8C606C"
"confirmed","XR-PLAN","4F","UPS","UPS","287881.2998169785","414961.448176042","0.82","1","1","3F-1C-2","UPS / 3F-1C-2","346.1","------00 Switch Gear_Number","8C94CD"
"confirmed","XR-PLAN","4F","UPS","UPS","329481.2229246158","414961.4571708932","0.82","1","1","5F-1C-2","UPS / 5F-1C-2","346.1","------00 Switch Gear_Number","8C96EB"
"confirmed","XR-PLAN","4F","UPS","UPS","330099.8991857154","415866.9477142612","0.82","1","1","5F-1C-1","UPS / 5F-1C-1","1013.7","------00 Switch Gear_Number","8C63B8"
"confirmed","XR-PLAN","4F","UPS","UPS","288499.9760780782","415866.9502841839","0.82","1","1","3F-1C-1","UPS / 3F-1C-1","1013.7","------00 Switch Gear_Number","8C6069"
"confirmed","XR-PLAN","4F","UPS","UPS","331271.222924614","416161.44689109","0.82","1","1","5F-1C-1","UPS / 5F-1C-1","346.1","------00 Switch Gear_Number","8C63B8"
"confirmed","XR-PLAN","4F","UPS","UPS","289671.2998169767","416161.4481760378","0.82","1","1","3F-1C-1","UPS / 3F-1C-1","346.1","------00 Switch Gear_Number","8C6069"
"confirmed","XR-PLAN","4F","UPS","UPS","287881.2998169785","416161.448176042","0.82","1","1","3F-1C-1","UPS / 3F-1C-1","346.1","------00 Switch Gear_Number","8C94CA"
"confirmed","XR-PLAN","4F","UPS","UPS","329481.2229246158","416161.4571708932","0.82","1","1","5F-1C-1","UPS / 5F-1C-1","346.1","------00 Switch Gear_Number","8C96E8"
"confirmed","XR-PLAN","4F","UPS","UPS","119963.6298593029","472476.000573815","0.82","1","1","3F-1B-5","UPS / 3F-1B-5","1400.3","------00 Switch Gear_Number","8C3E71"
"confirmed","XR-PLAN","4F","UPS","UPS","151613.631142618","472476.0018587896","0.82","1","1","5F-1B-5","UPS / 5F-1B-5","1882.3","------00 Switch Gear_Number","8C4485"
"confirmed","XR-PLAN","4F","UPS","UPS","118624.7935982035","473235.6703736742","0.82","1","1","","UPS","","",""
"confirmed","XR-PLAN","4F","UPS","UPS","121274.7935982035","473235.6703736742","0.82","1","1","3F-1B-5","UPS / 3F-1B-5","343.8","------00 Switch Gear_Number","8C3E71"
"confirmed","XR-PLAN","4F","UPS","UPS","152924.7948815186","473235.6703736875","0.82","1","1","","UPS","","",""
"confirmed","XR-PLAN","4F","UPS","UPS","150274.7948815185","473235.6716586621","0.82","1","1","5F-1B-5","UPS / 5F-1B-5","343.8","------00 Switch Gear_Number","8C4485"
"confirmed","XR-PLAN","4F","UPS","UPS","117453.469859303","473406.3443898441","0.82","1","1","","UPS","","",""
"confirmed","XR-PLAN","4F","UPS","UPS","149103.4711426182","473406.3456748187","0.82","1","1","5F-1B-5","UPS / 5F-1B-5","886.9","------00 Switch Gear_Number","8C4485"
"confirmed","XR-PLAN","4F","UPS","UPS","119963.6298593029","473676.000573815","0.82","1","1","3F-1B-5","UPS / 3F-1B-5","1055.9","------00 Switch Gear_Number","8C3E71"
"confirmed","XR-PLAN","4F","UPS","UPS","151613.631142618","473676.0018587896","0.82","1","1","5F-1B-5","UPS / 5F-1B-5","1642.3","------00 Switch Gear_Number","8C4485"
"confirmed","XR-PLAN","4F","UPS","UPS","118624.7935982035","474435.6703736743","0.82","1","1","","UPS","","",""
"confirmed","XR-PLAN","4F","UPS","UPS","121274.7935982035","474435.6703736743","0.82","1","1","3F-1B-4","UPS / 3F-1B-4","343.8","------00 Switch Gear_Number","8C3E6D"
