"status","coordinate_basis","floor","equipment_category","label","drawing_x","drawing_y","confidence","location_count","evidence_row_count","evidence_drawing_count","source_count","source_drawing_count","source_drawings","source_paths","entity_types","layers","block_names","texts","handles","floor_bbox_ids","nearby_name","display_label","nearby_name_distance","nearby_name_layer","nearby_name_handle"
"confirmed","XR-PLAN","1F","BATT","BATT","332296.6732174757","-316158.3967041566","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","BATT","8D0EBD","detail1_right","CRB-1-3","BATT / CRB-1-3","1454.5","------00 Switch Gear_Number","8D0B65"
"confirmed","XR-PLAN","1F","BATT","BATT","334175.5806559436","-312508.3967041605","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","BATT","8D0EC3","detail1_right","OF-1","BATT / OF-1","1400.4","------00 Switch Gear_Number","8D0B68"
"confirmed","XR-PLAN","1F","BATT","BATT","332296.6732174757","-312508.3967041566","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","BATT","8D0EB7","detail1_right","CRB-1-2","BATT / CRB-1-2","1454.5","------00 Switch Gear_Number","8D0B62"
"confirmed","XR-PLAN","1F","BATT","BATT","332296.6732174757","-308858.3967041566","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","BATT","8D0EB1","detail1_right","CRB-1-1","BATT / CRB-1-1","1454.5","------00 Switch Gear_Number","8D0B5F"
"confirmed","XR-PLAN","1F","BATT","BATT","307175.5822369358","-299058.3934918292","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","BATT","8D0EA6","detail1_right","C1-5","BATT / C1-5","1374.4","------00 Switch Gear_Number","8D1D82"
"confirmed","XR-PLAN","1F","BATT","BATT","307175.5822369358","-295408.3934918293","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","BATT","8D0EA0","detail1_right","C1-3","BATT / C1-3","1402.5","------00 Switch Gear_Number","8D0B90"
"confirmed","XR-PLAN","1F","BATT","BATT","305296.6747985428","-295408.3934918291","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","BATT","8D0E94","detail1_right","CR-1-3","BATT / CR-1-3","1487.7","------00 Switch Gear_Number","8D0BB1"
"confirmed","XR-PLAN","1F","BATT","BATT","307175.5822369358","-291758.3934918292","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","BATT","8D0E9A","detail1_right","C1-2","BATT / C1-2","1402.5","------00 Switch Gear_Number","8D0B8D"
"confirmed","XR-PLAN","1F","BATT","BATT","305296.6747985445","-291758.3934918291","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","BATT","8D0E8E","detail1_right","CR-1-2","BATT / CR-1-2","1487.7","------00 Switch Gear_Number","8D0BA4"
"confirmed","XR-PLAN","1F","BATT","BATT","305296.6747985463","-288108.3934918292","0.82","1","1","1","1","1","E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","-----99 EPMS DEVICE","","BATT","8D0E67","detail1_right","CR-1-1","BATT / CR-1-1","1487.7","------00 Switch Gear_Number","8D0B9A"
