status,overlay_priority,overlay_group_id,drawing_name,facility_count,raw_path,copied_path,converted_path,basis_name,basis_path,insert_x,insert_y,xscale,yscale,rotation,is_identity_insert,review_status,review_note
copied,A_XR_PLAN_IDENTITY,xr-plan_0_0_1_1_0,E-R05_조명제어설비 평면도.dxf,0,data\raw\04_설계도서\02_전기\전기\01_도면\E-R05_조명제어설비 평면도.dwg,data\overlay\v2\xr-plan-raw\04_설계도서\02_전기\전기\01_도면\E-R05_조명제어설비 평면도.dwg,data\converted\dxf\04_설계도서\02_전기\전기\01_도면\E-R05_조명제어설비 평면도.dxf,XR-PLAN,.\XR-PLAN.dwg,0,0,1,1,0,True,,
copied,A_XR_PLAN_IDENTITY,xr-plan_0_0_1_1_0,T-C02_MMR설비 평면도.dxf,0,data\raw\04_설계도서\04_통신\02 통신(○)\01 도면(CAD)\T-C02_MMR설비 평면도.dwg,data\overlay\v2\xr-plan-raw\04_설계도서\04_통신\02 통신(○)\01 도면(CAD)\T-C02_MMR설비 평면도.dwg,data\converted\dxf\04_설계도서\04_통신\02 통신(○)\01 도면(CAD)\T-C02_MMR설비 평면도.dxf,XR-PLAN,.\XR-PLAN.dwg,0,0,1,1,0,True,,
copied,A_XR_PLAN_IDENTITY,xr-plan_0_0_1_1_0,T-E02_방송설비 평면도.dxf,0,data\raw\04_설계도서\04_통신\02 통신(○)\01 도면(CAD)\T-E02_방송설비 평면도.dwg,data\overlay\v2\xr-plan-raw\04_설계도서\04_통신\02 통신(○)\01 도면(CAD)\T-E02_방송설비 평면도.dwg,data\converted\dxf\04_설계도서\04_통신\02 통신(○)\01 도면(CAD)\T-E02_방송설비 평면도.dxf,XR-PLAN,.\XR-PLAN.dwg,0,0,1,1,0,True,,
copied,A_XR_PLAN_IDENTITY,xr-plan_0_0_1_1_0,T-F02_빌딩안내설비 평면도.dxf,0,data\raw\04_설계도서\04_통신\02 통신(○)\01 도면(CAD)\T-F02_빌딩안내설비 평면도.dwg,data\overlay\v2\xr-plan-raw\04_설계도서\04_통신\02 통신(○)\01 도면(CAD)\T-F02_빌딩안내설비 평면도.dwg,data\converted\dxf\04_설계도서\04_통신\02 통신(○)\01 도면(CAD)\T-F02_빌딩안내설비 평면도.dxf,XR-PLAN,.\XR-PLAN.dwg,0,0,1,1,0,True,,
copied,A_XR_PLAN_IDENTITY,xr-plan_0_0_1_1_0,T-G01_비상벨설비 평면도.dxf,0,data\raw\04_설계도서\04_통신\02 통신(○)\01 도면(CAD)\T-G01_비상벨설비 평면도.dwg,data\overlay\v2\xr-plan-raw\04_설계도서\04_통신\02 통신(○)\01 도면(CAD)\T-G01_비상벨설비 평면도.dwg,data\converted\dxf\04_설계도서\04_통신\02 통신(○)\01 도면(CAD)\T-G01_비상벨설비 평면도.dxf,XR-PLAN,.\XR-PLAN.dwg,0,0,1,1,0,True,,
copied,A_XR_PLAN_IDENTITY,xr-plan_0_0_1_1_0,S-E02_주차관제설비 평면도.dxf,0,data\raw\04_설계도서\04_통신\03 보안(○)\01 도면(CAD)\S-E02_주차관제설비 평면도.dwg,data\overlay\v2\xr-plan-raw\04_설계도서\04_통신\03 보안(○)\01 도면(CAD)\S-E02_주차관제설비 평면도.dwg,data\converted\dxf\04_설계도서\04_통신\03 보안(○)\01 도면(CAD)\S-E02_주차관제설비 평면도.dxf,XR-PLAN,.\XR-PLAN.dwg,0,0,1,1,0,True,,
copied,B_XR_PLAN_TRANSFORMED,xr-plan_0_356400.000642_1_1_0,E-K02_AC & DC Control 전원설비 평면도.dxf,25,data\raw\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-K02_AC & DC Control 전원설비 평면도.dwg,data\overlay\v2\xr-plan-raw\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-K02_AC & DC Control 전원설비 평면도.dwg,data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-K02_AC & DC Control 전원설비 평면도.dxf,XR-PLAN,XR-PLAN.dwg,0,356400.000642,1,1,0,False,,
copied,B_XR_PLAN_TRANSFORMED,xr-plan_0_356400.000642_1_1_0,E-K02_AC & DC Control 전원설비 평면도.dxf,23,data\raw\04_설계도서\02_전기\전기\01_도면\E-K02_AC & DC Control 전원설비 평면도.dwg,data\overlay\v2\xr-plan-raw\04_설계도서\02_전기\전기\01_도면\E-K02_AC & DC Control 전원설비 평면도.dwg,data\converted\dxf\04_설계도서\02_전기\전기\01_도면\E-K02_AC & DC Control 전원설비 평면도.dxf,XR-PLAN,XR-PLAN.dwg,0,356400.000642,1,1,0,False,,
copied,B_XR_PLAN_TRANSFORMED,xr-plan_-122707.994815_108651.390156_1_1_0,"T-I04_종합상황실, 보안사무실 장비배치도.dxf",6,"data\raw\04_설계도서\04_통신\02 통신(○)\01 도면(CAD)\T-I04_종합상황실, 보안사무실 장비배치도.dwg","data\overlay\v2\xr-plan-raw\04_설계도서\04_통신\02 통신(○)\01 도면(CAD)\T-I04_종합상황실, 보안사무실 장비배치도.dwg","data\converted\dxf\04_설계도서\04_통신\02 통신(○)\01 도면(CAD)\T-I04_종합상황실, 보안사무실 장비배치도.dxf",XR-PLAN,.\XR-PLAN.dwg,-122707.994815,108651.390156,1,1,0,False,,
copied,B_XR_PLAN_TRANSFORMED,xr-plan_-98038.7054757_280948.048244_1_1_0,"T-I04_종합상황실, 보안사무실 장비배치도.dxf",6,"data\raw\04_설계도서\04_통신\02 통신(○)\01 도면(CAD)\T-I04_종합상황실, 보안사무실 장비배치도.dwg","data\overlay\v2\xr-plan-raw\04_설계도서\04_통신\02 통신(○)\01 도면(CAD)\T-I04_종합상황실, 보안사무실 장비배치도.dwg","data\converted\dxf\04_설계도서\04_통신\02 통신(○)\01 도면(CAD)\T-I04_종합상황실, 보안사무실 장비배치도.dxf",XR-PLAN,.\XR-PLAN.dwg,-98038.7054757,280948.048244,1,1,0,False,,
copied,B_XR_PLAN_TRANSFORMED,xr-plan_304608.928688_-76967.1189512_1_1_0,E-D01_발전기실 장비배치도.dxf,4,data\raw\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-D01_발전기실 장비배치도.dwg,data\overlay\v2\xr-plan-raw\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-D01_발전기실 장비배치도.dwg,data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-D01_발전기실 장비배치도.dxf,XR-PLAN,XR-PLAN.dwg,304608.928688,-76967.1189512,1,1,0,False,,
copied,B_XR_PLAN_TRANSFORMED,xr-plan_52308.9286877_-76967.1189512_1_1_0,E-D01_발전기실 장비배치도.dxf,4,data\raw\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-D01_발전기실 장비배치도.dwg,data\overlay\v2\xr-plan-raw\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-D01_발전기실 장비배치도.dwg,data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-D01_발전기실 장비배치도.dxf,XR-PLAN,XR-PLAN.dwg,52308.9286877,-76967.1189512,1,1,0,False,,
copied,B_XR_PLAN_TRANSFORMED,xr-plan_-73841.0713123_101232.881691_1_1_0,E-D01_발전기실 장비배치도.dxf,4,data\raw\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-D01_발전기실 장비배치도.dwg,data\overlay\v2\xr-plan-raw\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-D01_발전기실 장비배치도.dwg,data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-D01_발전기실 장비배치도.dxf,XR-PLAN,XR-PLAN.dwg,-73841.0713123,101232.881691,1,1,0,False,,
copied,B_XR_PLAN_TRANSFORMED,xr-plan_683058.928688_101232.881691_1_1_0,E-D01_발전기실 장비배치도.dxf,4,data\raw\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-D01_발전기실 장비배치도.dwg,data\overlay\v2\xr-plan-raw\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-D01_발전기실 장비배치도.dwg,data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-D01_발전기실 장비배치도.dxf,XR-PLAN,XR-PLAN.dwg,683058.928688,101232.881691,1,1,0,False,,
copied,B_XR_PLAN_TRANSFORMED,xr-plan__0_-178200_1_1_0,E-S02_피뢰 및 접지설비 평면도.dxf,4,data\raw\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-S02_피뢰 및 접지설비 평면도.dwg,data\overlay\v2\xr-plan-raw\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-S02_피뢰 및 접지설비 평면도.dwg,data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-S02_피뢰 및 접지설비 평면도.dxf,XR-PLAN_접지,XR-PLAN_접지.dwg,0,-178200,1,1,0,False,,
copied,B_XR_PLAN_TRANSFORMED,xr-plan_0_-178200_1_1_0,E-S02_피뢰 및 접지설비 평면도.dxf,1,data\raw\04_설계도서\02_전기\전기\01_도면\E-S02_피뢰 및 접지설비 평면도.dwg,data\overlay\v2\xr-plan-raw\04_설계도서\02_전기\전기\01_도면\E-S02_피뢰 및 접지설비 평면도.dwg,data\converted\dxf\04_설계도서\02_전기\전기\01_도면\E-S02_피뢰 및 접지설비 평면도.dxf,XR-PLAN,.\XR-PLAN.dwg,0,-178200,1,1,0,False,,
copied,B_XR_PLAN_TRANSFORMED,xr-plan_-204541.212746_-254628.795556_1_1_0,E-V05_전산기계실 접지설비 평면도.dxf,0,data\raw\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-V05_전산기계실 접지설비 평면도.dwg,data\overlay\v2\xr-plan-raw\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-V05_전산기계실 접지설비 평면도.dwg,data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-V05_전산기계실 접지설비 평면도.dxf,XR-PLAN,.\XR-PLAN.dwg,-204541.212746,-254628.795556,1,1,0,False,,
copied,B_XR_PLAN_TRANSFORMED,xr-plan_-78391.2127456_-611028.796198_1_1_0,E-V05_전산기계실 접지설비 평면도.dxf,0,data\raw\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-V05_전산기계실 접지설비 평면도.dwg,data\overlay\v2\xr-plan-raw\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-V05_전산기계실 접지설비 평면도.dwg,data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-V05_전산기계실 접지설비 평면도.dxf,XR-PLAN,.\XR-PLAN.dwg,-78391.2127456,-611028.796198,1,1,0,False,,
copied,B_XR_PLAN_TRANSFORMED,xr-plan_-252300_356400.000642_1_1_0,XR-전기실 확대평면도.dxf,0,data\raw\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\XR-전기실 확대평면도.dwg,data\overlay\v2\xr-plan-raw\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\XR-전기실 확대평면도.dwg,data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\XR-전기실 확대평면도.dxf,XR-PLAN,.\XR-PLAN.dwg,-252300,356400.000642,1,1,0,False,,
