overlay_group_id,overlay_priority,basis_name,basis_file,basis_path,floor_hint,insert_x,insert_y,xscale,yscale,rotation,is_identity_insert,drawing_count,facility_count,sample_drawings,review_note
x-plan_1_-7401.81466416_-63869.9460631_1_1_0,D_FLOOR_PLAN_WITH_FACILITIES,x-plan_1층,x-plan_1층.dwg,..\XREF\x-plan_1층.dwg,1F,-7401.81466416,-63869.9460631,1,1,0,False,1,14,M12-101~102 지상1층 기계실 확대배관 평면도 (운영센터).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
x-plan_3_-328427.325816_-85956.9449313_1_1_0,D_FLOOR_PLAN_WITH_FACILITIES,x-plan_3층,x-plan_3층.dwg,..\XREF\x-plan_3층.dwg,3F,-328427.325816,-85956.9449313,1,1,0,False,1,14,M13-101~106 장비기초 평면도 (전산센터A).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
x-plan_2_-202277.325816_-71842.1516622_1_1_0,D_FLOOR_PLAN_WITH_FACILITIES,x-plan_2층,x-plan_2층.dwg,..\XREF\x-plan_2층.dwg,1F,-202277.325816,-71842.1516622,1,1,0,False,1,13,M58-104~111 FDMS 평면도 (전산센터A).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
x-plan_1_0_g_c235b1c751_50353.5713123_148605.016948_1_1_0,D_FLOOR_PLAN_WITH_FACILITIES,x-plan_1층$0$G$C235B1C751,Acad:XRef,Acad:XRef,1F,50353.5713123,148605.016948,1,1,0,False,4,11,"M33-101~102 확대 냉난방덕트 평면도 (운영센터).dxf | M42-108~111 위생배관 평면도 (운영센터).dxf | M58-115~117 FDMS 평면도 (운영센터).dxf | M72-101~102 옥외 경유탱크실 평,단면도 (전산센터A).dxf",Apply inverse insert/scale/rotation before comparing with basis coordinates.
ssdx-plan_1_0_g_c235b1c751_50353.5713123_148605.016948_1_1_0,D_FLOOR_PLAN_WITH_FACILITIES,SSDx-plan_1층$0$G$C235B1C751,Acad:XRef,Acad:XRef,1F,50353.5713123,148605.016948,1,1,0,False,2,10,M42-201~202 위생 확대배관 평면도 (운영센터).dxf | M43-101~102 시스템 화장실 확대 위생배관 평면도 (운영센터).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
ssdx-plan_1_1_28490_21818.0000214_0.0333333333333_0.0333333333333_0,D_FLOOR_PLAN_WITH_FACILITIES,SSDx-plan_1층1,x-plan_1층.dwg,..\XREF\x-plan_1층.dwg,1F,28490,21818.0000214,0.0333333333333,0.0333333333333,0,False,2,10,M42-201~202 위생 확대배관 평면도 (운영센터).dxf | M43-101~102 시스템 화장실 확대 위생배관 평면도 (운영센터).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
ssdx-plan_2_1_62419.3987876_21818.0000214_0.0333333333333_0.0333333333333_0,D_FLOOR_PLAN_WITH_FACILITIES,SSDx-plan_2층1,x-plan_2층.dwg,..\XREF\x-plan_2층.dwg,2F,62419.3987876,21818.0000214,0.0333333333333,0.0333333333333,0,False,2,10,M42-201~202 위생 확대배관 평면도 (운영센터).dxf | M43-101~102 시스템 화장실 확대 위생배관 평면도 (운영센터).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
x-plan_1_-142853.571293_-56105.0169575_1_1_0,D_FLOOR_PLAN_WITH_FACILITIES,x-plan_1층,x-plan_1층.dwg,..\XREF\x-plan_1층.dwg,1F,-142853.571293,-56105.0169575,1,1,0,False,2,10,M42-201~202 위생 확대배관 평면도 (운영센터).dxf | M43-101~102 시스템 화장실 확대 위생배관 평면도 (운영센터).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
x-plan_2_-316147.562721_-81439.312715_1_1_0,D_FLOOR_PLAN_WITH_FACILITIES,x-plan_2층,x-plan_2층.dwg,..\XREF\x-plan_2층.dwg,2F,-316147.562721,-81439.312715,1,1,0,False,2,10,M42-201~202 위생 확대배관 평면도 (운영센터).dxf | M43-101~102 시스템 화장실 확대 위생배관 평면도 (운영센터).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
x-plan_2_-348385.721223_-66614.1798721_1_1_0,D_FLOOR_PLAN_WITH_FACILITIES,x-plan_2층,x-plan_2층.dwg,..\XREF\x-plan_2층.dwg,2F,-348385.721223,-66614.1798721,1,1,0,False,2,10,M42-201~202 위생 확대배관 평면도 (운영센터).dxf | M43-101~102 시스템 화장실 확대 위생배관 평면도 (운영센터).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
